dataset,encoder,target,head,T,k_shot,run,seed_type,seed,n_train,test_acc,baseline_acc,delta_acc,final_train_loss,checkpoint_epoch,checkpoint_train_loss
dtd,resnet18,image_prototype,fm_rollout,4,10shot,0,subset,0,470,0.20957446098327637,0.5239361524581909,-0.31436169147491455,1.3505205367473845,199,1.3505205367473845
dtd,resnet18,image_prototype,fm_rollout,12,10shot,0,subset,0,470,0.2707446813583374,0.5239361524581909,-0.2531914710998535,1.4903207454275578,199,1.4903207454275578
dtd,resnet18,image_prototype,fm_standard,4,10shot,1,subset,1,470,0.37287235260009766,0.5446808338165283,-0.17180848121643066,30.49269013100482,195,28.314981217079975
dtd,resnet18,image_prototype,fm_standard,12,10shot,1,subset,1,470,0.40744680166244507,0.5446808338165283,-0.13723403215408325,30.49269013100482,195,28.314981217079975
dtd,resnet18,image_prototype,fm_rollout,4,10shot,1,subset,1,470,0.21808511018753052,0.5446808338165283,-0.3265957236289978,1.3496713709323964,199,1.3496713709323964
dtd,resnet18,image_prototype,fm_rollout,12,10shot,1,subset,1,470,0.2563829720020294,0.5446808338165283,-0.2882978618144989,1.481005691974721,198,1.4707521626289854
dtd,resnet18,image_prototype,fm_standard,4,10shot,2,subset,2,470,0.3920212686061859,0.5324468016624451,-0.14042553305625916,28.455868741299245,198,26.348650100383352
dtd,resnet18,image_prototype,fm_standard,12,10shot,2,subset,2,470,0.41170212626457214,0.5324468016624451,-0.12074467539787292,28.455868741299245,198,26.348650100383352
dtd,resnet18,image_prototype,fm_rollout,4,10shot,2,subset,2,470,0.21382978558540344,0.5324468016624451,-0.3186170160770416,1.4035832435526747,197,1.3992502547324972
dtd,resnet18,image_prototype,fm_rollout,12,10shot,2,subset,2,470,0.28936171531677246,0.5324468016624451,-0.2430850863456726,1.4856903162408381,199,1.4856903162408381
dtd,resnet18,image_prototype,fm_standard,4,full,0,init,0,1880,0.3882978856563568,0.5877659320831299,-0.19946804642677307,34.86697281370772,198,34.071858978271486
dtd,resnet18,image_prototype,fm_standard,12,full,0,init,0,1880,0.4265957474708557,0.5877659320831299,-0.16117018461227417,34.86697281370772,198,34.071858978271486
dtd,resnet18,image_prototype,fm_rollout,4,full,0,init,0,1880,0.45691490173339844,0.5877659320831299,-0.13085103034973145,0.5446004197952595,197,0.536604873170244
dtd,resnet18,image_prototype,fm_rollout,12,full,0,init,0,1880,0.4819149076938629,0.5877659320831299,-0.10585102438926697,0.531933520195332,195,0.5280031402060326
dtd,resnet18,image_prototype,fm_standard,4,full,1,init,1,1880,0.41170212626457214,0.5877659320831299,-0.17606380581855774,34.91016215872257,191,33.56167586306308
dtd,resnet18,image_prototype,fm_standard,12,full,1,init,1,1880,0.44574469327926636,0.5877659320831299,-0.14202123880386353,34.91016215872257,191,33.56167586306308
dtd,resnet18,image_prototype,fm_rollout,4,full,1,init,1,1880,0.46702128648757935,0.5877659320831299,-0.12074464559555054,0.5299298385356335,199,0.5299298385356335
dtd,resnet18,image_prototype,fm_rollout,12,full,1,init,1,1880,0.4749999940395355,0.5877659320831299,-0.11276593804359436,0.5140266319538684,199,0.5140266319538684
dtd,resnet18,image_prototype,fm_standard,4,full,2,init,2,1880,0.39414894580841064,0.5877659320831299,-0.19361698627471924,35.42961943606113,187,34.64216374336405
dtd,resnet18,image_prototype,fm_standard,12,full,2,init,2,1880,0.4340425431728363,0.5877659320831299,-0.15372338891029358,35.42961943606113,187,34.64216374336405
dtd,resnet18,image_prototype,fm_rollout,4,full,2,init,2,1880,0.45957446098327637,0.5877659320831299,-0.12819147109985352,0.5814912590574711,196,0.571900658911847
dtd,resnet18,image_prototype,fm_rollout,12,full,2,init,2,1880,0.49468085169792175,0.5877659320831299,-0.09308508038520813,0.5308154532249938,198,0.5204840061512399
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,5shot,0,subset,0,500,0.09210921078920364,0.1509150862693786,-0.05880587548017496,29.16128091430664,199,29.16128091430664
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,5shot,0,subset,0,500,0.11431143432855606,0.1509150862693786,-0.036603651940822546,29.16128091430664,199,29.16128091430664
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,5shot,0,subset,0,500,0.06090608984231949,0.1509150862693786,-0.09000899642705912,1.8136023817062379,199,1.8136023817062379
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,5shot,0,subset,0,500,0.07650765031576157,0.1509150862693786,-0.07440743595361704,1.8761906003952027,198,1.8644296226501464
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,5shot,1,subset,1,500,0.09450945258140564,0.1659165918827057,-0.07140713930130005,30.717300918579102,196,28.976050430297853
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,5shot,1,subset,1,500,0.10651065409183502,0.1659165918827057,-0.059405937790870667,30.717300918579102,196,28.976050430297853
