dataset,encoder,target,head,T,k_shot,n_runs,mean_acc,std_acc,baseline_mean,delta_mean,delta_std
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,5shot,3,0.2515251487493515,0.009441815627323966,0.23112311462561286,0.020402034123738633,0.00597805355285533
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,5shot,3,0.18301830689112344,0.008156184360878976,0.23112311462561286,-0.04810480773448941,0.006589280890212182
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,5shot,3,0.24402440587679544,0.0027058198109288834,0.23112311462561286,0.012901291251182584,0.010913008136491964
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,10shot,3,0.2868286867936452,0.009444984745098691,0.2780278027057647,0.00880088408788049,0.009788223656009532
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,10shot,3,0.29582958420117694,0.009782083790800563,0.2780278027057647,0.017801781495412228,0.006711119027691037
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,10shot,3,0.3354335327943166,0.008167208840398527,0.2780278027057647,0.057405730088551876,0.008535490745573185
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,10shot,3,0.40494049588839215,0.008603763663060843,0.27802780270576477,0.1269126931826274,0.016304082734423367
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,full,3,0.3478347857793172,0.004592848541177329,0.3441344201564789,0.0037003656228383384,0.004592848541177329
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,full,3,0.37633763750394184,0.003995399447292752,0.3441344201564789,0.032203217347462974,0.003995399447292752
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,full,3,0.3007300794124603,0.10396995725192185,0.3441344201564789,-0.043404340744018555,0.10396995725192185
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,full,3,0.3209320902824402,0.061216664962774545,0.3441344201564789,-0.023202329874038696,0.061216664962774545
dtd,clip_rn50,clip_text,fm_standard,4,5shot,3,0.5136524637540182,0.008314461236410312,0.39787232875823975,0.11578013499577845,0.00831446123641031
dtd,clip_rn50,clip_text,fm_standard,12,5shot,3,0.5154255231221517,0.00904253125192372,0.39787232875823975,0.117553194363912,0.00904253125192372
dtd,clip_rn50,clip_text,fm_rollout,4,5shot,3,0.4835106333096822,0.014459877634531994,0.3978723287582397,0.08563830455144252,0.014459877634531994
dtd,clip_rn50,clip_text,fm_rollout,12,5shot,3,0.4835106432437897,0.009319908047534018,0.3978723287582397,0.08563831448554998,0.009319908047534018
dtd,clip_rn50,clip_text,fm_standard,4,10shot,3,0.5604610045750936,0.0030245788117803374,0.39787232875823975,0.1625886758168539,0.0030245788117803374
dtd,clip_rn50,clip_text,fm_standard,12,10shot,3,0.5654255350430807,0.004606526159286052,0.39787232875823975,0.16755320628484097,0.004606526159286052
dtd,clip_rn50,clip_text,fm_rollout,4,10shot,3,0.556205670038859,0.004429084656572985,0.39787232875823964,0.15833334128061935,0.004429084656572985
dtd,clip_rn50,clip_text,fm_rollout,12,10shot,3,0.548758864402771,0.007221763734233597,0.3978723287582397,0.1508865356445313,0.007221763734233597
dtd,clip_rn50,clip_text,fm_standard,4,full,3,0.6200354695320129,0.016483637915535324,0.39787232875823964,0.22216314077377328,0.016483637915535324
dtd,clip_rn50,clip_text,fm_standard,12,full,3,0.626241127649943,0.013470492338628048,0.39787232875823964,0.22836879889170336,0.013470492338628048
dtd,clip_rn50,clip_text,fm_rollout,4,full,3,0.6453900734583536,0.004826446704967648,0.39787232875823964,0.247517744700114,0.004826446704967648
dtd,clip_rn50,clip_text,fm_rollout,12,full,3,0.6230496366818746,0.008969230982102967,0.39787232875823975,0.2251773079236349,0.008969230982102967
fgvc_aircraft,clip_rn50,clip_text,fm_standard,4,5shot,3,0.18381838500499725,0.0026213277517071988,0.1704170405864715,0.013401344418525751,0.0026213277517071988
fgvc_aircraft,clip_rn50,clip_text,fm_standard,12,5shot,3,0.18591859440008798,0.003151504383825093,0.1704170405864715,0.01550155381361649,0.0031515043838250927
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,4,5shot,3,0.19191919267177582,0.0029140537210993866,0.1704170405864715,0.021502152085304316,0.0029140537210993866
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,12,5shot,3,0.19021902481714884,0.009242678382731092,0.1704170405864715,0.019801984230677343,0.009242678382731092
fgvc_aircraft,clip_rn50,clip_text,fm_standard,4,10shot,3,0.21162116527557373,0.007922913554282197,0.1704170405864715,0.04120412468910223,0.007922913554282197
fgvc_aircraft,clip_rn50,clip_text,fm_standard,12,10shot,3,0.21392139295736948,0.007572413155217066,0.1704170405864715,0.04350435237089798,0.007572413155217066
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,4,10shot,3,0.2529252966245015,0.0022651761731907446,0.1704170405864715,0.08250825603803004,0.0022651761731907446
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,12,10shot,3,0.24572457869847616,0.0022651761731907446,0.1704170405864715,0.07530753811200465,0.0022651761731907446
fgvc_aircraft,clip_rn50,clip_text,fm_standard,4,full,3,0.24472447236378989,0.018002640905195,0.1704170405864715,0.07430743177731837,0.018002640905195
fgvc_aircraft,clip_rn50,clip_text,fm_standard,12,full,3,0.24452445904413858,0.017873844275662198,0.1704170405864715,0.07410741845766709,0.017873844275662198
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,4,full,3,0.346934696038564,0.006909394228722648,0.17041704058647147,0.17651765545209255,0.006909394228722648
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,12,full,3,0.3328332801659902,0.0037990734789187216,0.17041704058647147,0.1624162395795187,0.0037990734789187216
