head,class_idx,class_name,t,cosine,l2
fm_standard,5,A340-200,0.3333333333333333,0.8620386719703674,0.43783241510391235
fm_standard,5,A340-200,0.4166666666666667,0.8741306066513062,0.42438042163848877
fm_standard,5,A340-200,0.5,0.8852388858795166,0.4121319353580475
fm_standard,5,A340-200,0.5833333333333334,0.8953539729118347,0.40107256174087524
fm_standard,5,A340-200,0.6666666666666666,0.9044978022575378,0.3911781907081604
fm_standard,5,A340-200,0.75,0.9127167463302612,0.3824159801006317
fm_standard,5,A340-200,0.8333333333333334,0.9200738668441772,0.3747466802597046
fm_standard,5,A340-200,0.9166666666666666,0.926641047000885,0.3681271970272064
fm_standard,5,A340-200,1.0,0.9324938058853149,0.3625134825706482
fm_standard,6,Cessna 172,0.0,0.9487719535827637,0.27982988953590393
fm_standard,6,Cessna 172,0.08333333333333333,0.9566414952278137,0.2594589293003082
fm_standard,6,Cessna 172,0.16666666666666666,0.9631978869438171,0.24112527072429657
fm_standard,6,Cessna 172,0.25,0.9686322212219238,0.22471830248832703
fm_standard,6,Cessna 172,0.3333333333333333,0.9731102585792542,0.21015776693820953
fm_standard,6,Cessna 172,0.4166666666666667,0.9767758250236511,0.1973820924758911
fm_standard,6,Cessna 172,0.5,0.9797540903091431,0.18633542954921722
fm_standard,6,Cessna 172,0.5833333333333334,0.9821549654006958,0.17695458233356476
fm_standard,6,Cessna 172,0.6666666666666666,0.9840746521949768,0.1691577434539795
fm_standard,6,Cessna 172,0.75,0.9855982065200806,0.16283799707889557
fm_standard,6,Cessna 172,0.8333333333333334,0.9868000745773315,0.15786224603652954
fm_standard,6,Cessna 172,0.9166666666666666,0.9877445697784424,0.15407632291316986
fm_standard,6,Cessna 172,1.0,0.9884865880012512,0.15131428837776184
fm_standard,7,DHC-1,0.0,0.9210671782493591,0.32930341362953186
fm_standard,7,DHC-1,0.08333333333333333,0.9292091727256775,0.3160320520401001
fm_standard,7,DHC-1,0.16666666666666666,0.9361410140991211,0.30455300211906433
fm_standard,7,DHC-1,0.25,0.9420293569564819,0.2946796715259552
fm_standard,7,DHC-1,0.3333333333333333,0.9470233917236328,0.28624939918518066
fm_standard,7,DHC-1,0.4166666666666667,0.9512542486190796,0.27911925315856934
fm_standard,7,DHC-1,0.5,0.9548363089561462,0.27316269278526306
fm_standard,7,DHC-1,0.5833333333333334,0.9578685164451599,0.26826637983322144
fm_standard,7,DHC-1,0.6666666666666666,0.9604364037513733,0.2643280327320099
fm_standard,7,DHC-1,0.75,0.9626129865646362,0.2612544298171997
fm_standard,7,DHC-1,0.8333333333333334,0.9644609093666077,0.2589606046676636
fm_standard,7,DHC-1,0.9166666666666666,0.9660337567329407,0.25736910104751587
fm_standard,7,DHC-1,1.0,0.9673769474029541,0.25640982389450073
fm_standard,8,Fokker 50,0.0,0.9110678434371948,0.3939872980117798
fm_standard,8,Fokker 50,0.08333333333333333,0.9242187738418579,0.3656284511089325
fm_standard,8,Fokker 50,0.16666666666666666,0.9355719089508057,0.33924493193626404
fm_standard,8,Fokker 50,0.25,0.945309042930603,0.3148411810398102
fm_standard,8,Fokker 50,0.3333333333333333,0.9535961151123047,0.2924398183822632
fm_standard,8,Fokker 50,0.4166666666666667,0.9605902433395386,0.27206480503082275
fm_standard,8,Fokker 50,0.5,0.96644127368927,0.2537263035774231
fm_standard,8,Fokker 50,0.5833333333333334,0.9712938666343689,0.23740951716899872
fm_standard,8,Fokker 50,0.6666666666666666,0.9752860069274902,0.22306783497333527
fm_standard,8,Fokker 50,0.75,0.9785465598106384,0.21062147617340088
fm_standard,8,Fokker 50,0.8333333333333334,0.981194257736206,0.19996005296707153
fm_standard,8,Fokker 50,0.9166666666666666,0.9833346009254456,0.190948948264122
fm_standard,8,Fokker 50,1.0,0.9850597381591797,0.1834375113248825
fm_standard,9,Gulfstream V,0.0,0.8398826122283936,0.516930341720581
fm_standard,9,Gulfstream V,0.08333333333333333,0.8611245155334473,0.4798896908760071
fm_standard,9,Gulfstream V,0.16666666666666666,0.8800868988037109,0.44547295570373535
fm_standard,9,Gulfstream V,0.25,0.8968036770820618,0.41372916102409363
fm_standard,9,Gulfstream V,0.3333333333333333,0.9113578200340271,0.384689062833786
fm_standard,9,Gulfstream V,0.4166666666666667,0.92387855052948,0.3583536446094513
fm_standard,9,Gulfstream V,0.5,0.9345320463180542,0.3346875011920929
fm_standard,9,Gulfstream V,0.5833333333333334,0.9435103535652161,0.31361645460128784
fm_standard,9,Gulfstream V,0.6666666666666666,0.9510169625282288,0.2950294315814972
fm_standard,9,Gulfstream V,0.75,0.9572550058364868,0.27878403663635254
fm_standard,9,Gulfstream V,0.8333333333333334,0.96241694688797,0.2647140622138977
fm_standard,9,Gulfstream V,0.9166666666666666,0.9666785001754761,0.252638578414917
fm_standard,9,Gulfstream V,1.0,0.9701941013336182,0.2423705905675888
fm_rollout,0,727-200,0.0,0.004468316212296486,1.6042555570602417
fm_rollout,0,727-200,0.08333333333333333,0.14143411815166473,1.1824941635131836
fm_rollout,0,727-200,0.16666666666666666,0.29205524921417236,0.9078510999679565
fm_rollout,0,727-200,0.25,0.43492063879966736,0.7293322682380676
fm_rollout,0,727-200,0.3333333333333333,0.563705325126648,0.6099367737770081
fm_rollout,0,727-200,0.4166666666666667,0.6750231385231018,0.5254675149917603
fm_rollout,0,727-200,0.5,0.7652493715286255,0.4619911015033722
fm_rollout,0,727-200,0.5833333333333334,0.8331961035728455,0.4122125804424286
fm_rollout,0,727-200,0.6666666666666666,0.8813700675964355,0.3723432123661041
fm_rollout,0,727-200,0.75,0.9143185615539551,0.3401913344860077
fm_rollout,0,727-200,0.8333333333333334,0.9365814924240112,0.3142528831958771
fm_rollout,0,727-200,0.9166666666666666,0.9517125487327576,0.2933531105518341
fm_rollout,0,727-200,1.0,0.9621767401695251,0.27652624249458313
fm_rollout,1,737-300,0.0,0.3218821883201599,1.0920737981796265
fm_rollout,1,737-300,0.08333333333333333,0.4988975524902344,0.8683831095695496
