dataset,encoder,target,head,T,k_shot,run,seed_type,seed,n_train,test_acc,baseline_acc,delta_acc,final_train_loss,checkpoint_epoch,checkpoint_train_loss
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,5shot,0,subset,0,500,0.32433244585990906,0.2166216671466827,0.10771077871322635,0.07111339205503464,195,0.07032016319036484
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,5shot,0,subset,0,500,0.32433244585990906,0.2166216671466827,0.10771077871322635,0.07266997730731964,195,0.071783921957016
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,5shot,1,subset,1,500,0.3468346893787384,0.233123317360878,0.11371137201786041,0.18333142602443694,181,0.16772691345214844
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,5shot,1,subset,1,500,0.34233424067497253,0.233123317360878,0.10921092331409454,0.18333142602443694,181,0.16772691345214844
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,5shot,1,subset,1,500,0.3528352975845337,0.233123317360878,0.1197119802236557,0.06949925196170807,193,0.06714320492744445
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,5shot,1,subset,1,500,0.3579357862472534,0.233123317360878,0.12481246888637543,0.07093429327011108,193,0.06891523909568786
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,5shot,2,subset,2,500,0.3480347990989685,0.2436243593692779,0.10441043972969061,0.18039572989940644,181,0.16751032960414886
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,5shot,2,subset,2,500,0.34383437037467957,0.2436243593692779,0.10021001100540167,0.18039572989940644,181,0.16751032960414886
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,5shot,2,subset,2,500,0.33903390169143677,0.2436243593692779,0.09540954232215887,0.06633083140850067,199,0.06633083140850067
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,5shot,2,subset,2,500,0.3384338319301605,0.2436243593692779,0.09480947256088262,0.06831647825241088,199,0.06831647825241088
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,10shot,0,subset,0,1000,0.4398439824581146,0.2913291454315185,0.14851483702659612,0.18727822339534758,198,0.1786605738401413
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,10shot,0,subset,0,1000,0.43774378299713135,0.2913291454315185,0.14641463756561285,0.18727822339534758,198,0.1786605738401413
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,10shot,0,subset,0,1000,0.4410440921783447,0.2913291454315185,0.14971494674682623,0.07207752108573913,197,0.07164658492803573
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,10shot,0,subset,0,1000,0.4527452886104584,0.2913291454315185,0.16141614317893987,0.07360203701257706,199,0.07360203701257706
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,10shot,1,subset,1,1000,0.4296429753303528,0.269426941871643,0.16021603345870977,0.19347463989257813,190,0.18307576310634613
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,10shot,1,subset,1,1000,0.4272427260875702,0.269426941871643,0.15781578421592718,0.19347463989257813,190,0.18307576310634613
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,10shot,1,subset,1,1000,0.435943603515625,0.269426941871643,0.166516661643982,0.07298502069711685,197,0.07198547595739364
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,10shot,1,subset,1,1000,0.43894389271736145,0.269426941871643,0.16951695084571844,0.07483202040195465,197,0.0736093607544899
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,10shot,2,subset,2,1000,0.4380438029766083,0.2733273208141327,0.16471648216247559,0.18886593794822693,196,0.17683613646030427
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,10shot,2,subset,2,1000,0.4335433542728424,0.2733273208141327,0.16021603345870972,0.18886593794822693,196,0.17683613646030427
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,10shot,2,subset,2,1000,0.42064207792282104,0.2733273208141327,0.14731475710868835,0.07131273764371872,195,0.07065338599681854
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,10shot,2,subset,2,1000,0.42034202814102173,0.2733273208141327,0.14701470732688904,0.07369867396354675,195,0.07298163759708405
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,full,0,init,0,3334,0.583258330821991,0.3441344201564789,0.23912391066551208,0.15313238204061877,197,0.15300099654475158
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,full,0,init,0,3334,0.5778577923774719,0.3441344201564789,0.23372337222099304,0.15313238204061877,197,0.15300099654475158
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,full,0,init,0,3334,0.5550554990768433,0.3441344201564789,0.21092107892036438,0.04020531767846298,199,0.04020531767846298
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,full,0,init,0,3334,0.5439543724060059,0.3441344201564789,0.19981995224952698,0.04056536945965237,197,0.04050683164013741
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,full,1,init,1,3334,0.5691569447517395,0.3441344201564789,0.22502252459526062,0.15012755483192244,181,0.14918616638436744
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,full,1,init,1,3334,0.5673567652702332,0.3441344201564789,0.22322234511375427,0.15012755483192244,181,0.14918616638436744
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,full,1,init,1,3334,0.5535553693771362,0.3441344201564789,0.20942094922065735,0.03908002297000107,199,0.03908002297000107
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,full,1,init,1,3334,0.5502550005912781,0.3441344201564789,0.2061205804347992,0.038051879582071846,199,0.038051879582071846
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,full,2,init,2,3334,0.5751575231552124,0.3441344201564789,0.23102310299873352,0.15729413626254068,196,0.1508526204988566
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,full,2,init,2,3334,0.5730572938919067,0.3441344201564789,0.22892287373542786,0.15729413626254068,196,0.1508526204988566
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,full,2,init,2,3334,0.5523552298545837,0.3441344201564789,0.20822080969810486,0.039425325848667224,199,0.039425325848667224
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,full,2,init,2,3334,0.534053385257721,0.3441344201564789,0.18991896510124207,0.04514072800583659,196,0.0421171981012242
dtd,clip_rn50,clip_text,fm_standard,4,5shot,0,subset,0,235,0.5132978558540344,0.3978723287582397,0.11542552709579473,0.09807779211947258,197,0.08695719080402496
dtd,clip_rn50,clip_text,fm_standard,12,5shot,0,subset,0,235,0.5148935914039612,0.3978723287582397,0.11702126264572149,0.09807779211947258,197,0.08695719080402496
dtd,clip_rn50,clip_text,fm_rollout,4,5shot,0,subset,0,235,0.4898936152458191,0.3978723287582397,0.0920212864875794,0.017839899857310538,198,0.017783882698797163
dtd,clip_rn50,clip_text,fm_rollout,12,5shot,0,subset,0,235,0.48829787969589233,0.3978723287582397,0.09042555093765264,0.0207710973601392,199,0.0207710973601392
dtd,clip_rn50,clip_text,fm_standard,4,5shot,1,subset,1,235,0.5079787373542786,0.3978723287582397,0.11010640859603887,0.0996654767939385,197,0.09188379968734497
dtd,clip_rn50,clip_text,fm_standard,12,5shot,1,subset,1,235,0.5090425610542297,0.3978723287582397,0.11117023229599005,0.0996654767939385,197,0.09188379968734497
dtd,clip_rn50,clip_text,fm_rollout,4,5shot,1,subset,1,235,0.47393617033958435,0.3978723287582397,0.07606384158134466,0.01784573012685522,198,0.017745965695444572
dtd,clip_rn50,clip_text,fm_rollout,12,5shot,1,subset,1,235,0.4792553186416626,0.3978723287582397,0.08138298988342291,0.02042866732845915,198,0.020365112512669665
dtd,clip_rn50,clip_text,fm_standard,4,5shot,2,subset,2,235,0.5026595592498779,0.3978723287582397,0.10478723049163824,0.09770632170616313,189,0.08663130462803739
dtd,clip_rn50,clip_text,fm_standard,12,5shot,2,subset,2,235,0.5026595592498779,0.3978723287582397,0.10478723049163824,0.09770632170616313,189,0.08663130462803739
dtd,clip_rn50,clip_text,fm_rollout,4,5shot,2,subset,2,235,0.4654255211353302,0.3978723287582397,0.06755319237709051,0.01739374669466881,199,0.01739374669466881
dtd,clip_rn50,clip_text,fm_rollout,12,5shot,2,subset,2,235,0.4680851101875305,0.3978723287582397,0.07021278142929083,0.02006615971789715,199,0.02006615971789715
dtd,clip_rn50,clip_text,fm_standard,4,10shot,0,subset,0,470,0.5569148659706116,0.3978723287582397,0.15904253721237188,0.09963727222478136,193,0.09559145205198451
dtd,clip_rn50,clip_text,fm_standard,12,10shot,0,subset,0,470,0.5606383085250854,0.3978723287582397,0.16276597976684576,0.09963727222478136,193,0.09559145205198451
dtd,clip_rn50,clip_text,fm_rollout,4,10shot,0,subset,0,470,0.5382978916168213,0.3978723287582397,0.1404255628585816,0.028471156677350083,197,0.027853046841126806
dtd,clip_rn50,clip_text,fm_rollout,12,10shot,0,subset,0,470,0.5367021560668945,0.3978723287582397,0.13882982730865484,0.03110168179933061,197,0.030180381912183255
dtd,clip_rn50,clip_text,fm_standard,4,10shot,1,subset,1,470,0.5622340440750122,0.3978723287582397,0.16436171531677252,0.10094452059649407,198,0.09665778142974732
dtd,clip_rn50,clip_text,fm_standard,12,10shot,1,subset,1,470,0.5648936033248901,0.3978723287582397,0.16702127456665045,0.10094452059649407,198,0.09665778142974732
dtd,clip_rn50,clip_text,fm_rollout,4,10shot,1,subset,1,470,0.5388298034667969,0.3978723287582397,0.14095747470855718,0.030998282546692707,196,0.030311975120864015
dtd,clip_rn50,clip_text,fm_rollout,12,10shot,1,subset,1,470,0.5510638356208801,0.3978723287582397,0.15319150686264044,0.033884835116406706,195,0.03255248183899737
dtd,clip_rn50,clip_text,fm_standard,4,10shot,2,subset,2,470,0.5734042525291443,0.3978723287582397,0.1755319237709046,0.09688230388342066,198,0.09326505302748782
dtd,clip_rn50,clip_text,fm_standard,12,10shot,2,subset,2,470,0.5755318999290466,0.3978723287582397,0.17765957117080694,0.09688230388342066,198,0.09326505302748782
dtd,clip_rn50,clip_text,fm_rollout,4,10shot,2,subset,2,470,0.5521276593208313,0.3978723287582397,0.1542553305625916,0.030228516443612727,198,0.02900114649946385
dtd,clip_rn50,clip_text,fm_rollout,12,10shot,2,subset,2,470,0.5542553067207336,0.3978723287582397,0.15638297796249395,0.032202874139902436,198,0.03120814395394731
dtd,clip_rn50,clip_text,fm_standard,4,full,0,init,0,1880,0.6234042644500732,0.3978723287582397,0.22553193569183355,0.08962983403434145,197,0.08678287499128504
dtd,clip_rn50,clip_text,fm_standard,12,full,0,init,0,1880,0.6319149136543274,0.3978723287582397,0.2340425848960877,0.08962983403434145,197,0.08678287499128504
dtd,clip_rn50,clip_text,fm_rollout,4,full,0,init,0,1880,0.632446825504303,0.3978723287582397,0.2345744967460633,0.02486805532999495,199,0.02486805532999495
dtd,clip_rn50,clip_text,fm_rollout,12,full,0,init,0,1880,0.6021276712417603,0.3978723287582397,0.20425534248352056,0.04653453725449582,199,0.04653453725449582
dtd,clip_rn50,clip_text,fm_standard,4,full,1,init,1,1880,0.6292552947998047,0.3978723287582397,0.231382966041565,0.088178776680155,186,0.08720285835418295
dtd,clip_rn50,clip_text,fm_standard,12,full,1,init,1,1880,0.6335106492042542,0.3978723287582397,0.23563832044601446,0.088178776680155,186,0.08720285835418295
dtd,clip_rn50,clip_text,fm_rollout,4,full,1,init,1,1880,0.6329787373542786,0.3978723287582397,0.23510640859603887,0.02636411947772858,199,0.02636411947772858
dtd,clip_rn50,clip_text,fm_rollout,12,full,1,init,1,1880,0.6191489100456238,0.3978723287582397,0.2212765812873841,0.04806370823941332,198,0.04770890945132743
dtd,clip_rn50,clip_text,fm_standard,4,full,2,init,2,1880,0.6382978558540344,0.3978723287582397,0.24042552709579473,0.08843672805010004,194,0.08560478157819586
dtd,clip_rn50,clip_text,fm_standard,12,full,2,init,2,1880,0.6446808576583862,0.3978723287582397,0.24680852890014654,0.08843672805010004,194,0.08560478157819586
dtd,clip_rn50,clip_text,fm_rollout,4,full,2,init,2,1880,0.6308510899543762,0.3978723287582397,0.23297876119613653,0.0271639254657512,198,0.026828124405855826
dtd,clip_rn50,clip_text,fm_rollout,12,full,2,init,2,1880,0.6260638236999512,0.3978723287582397,0.22819149494171148,0.0493113951480135,196,0.048343083801421716
fgvc_aircraft,clip_rn50,clip_text,fm_standard,4,5shot,0,subset,0,500,0.19621962308883667,0.1704170405864715,0.025802582502365168,0.09207852518558503,199,0.09207852518558503
fgvc_aircraft,clip_rn50,clip_text,fm_standard,12,5shot,0,subset,0,500,0.19861985743045807,0.1704170405864715,0.028202816843986567,0.09207852518558503,199,0.09207852518558503
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,4,5shot,0,subset,0,500,0.1869186908006668,0.1704170405864715,0.016501650214195307,0.04909691932797432,190,0.04839220550656319
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,12,5shot,0,subset,0,500,0.18901890516281128,0.1704170405864715,0.018601864576339777,0.05118854820728302,199,0.05118854820728302
fgvc_aircraft,clip_rn50,clip_text,fm_standard,4,5shot,1,subset,1,500,0.19591958820819855,0.1704170405864715,0.025502547621727045,0.09692329740524291,195,0.09374402576684952
fgvc_aircraft,clip_rn50,clip_text,fm_standard,12,5shot,1,subset,1,500,0.19981998205184937,0.1704170405864715,0.029402941465377863,0.09692329740524291,195,0.09374402576684952
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,4,5shot,1,subset,1,500,0.19111910462379456,0.1704170405864715,0.020702064037323054,0.0485295874774456,199,0.0485295874774456
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,12,5shot,1,subset,1,500,0.18871887028217316,0.1704170405864715,0.018301829695701655,0.05171570309996605,190,0.051363239973783496
fgvc_aircraft,clip_rn50,clip_text,fm_standard,4,5shot,2,subset,2,500,0.18391838669776917,0.1704170405864715,0.013501346111297663,0.09520685482025147,195,0.09367391419410706
fgvc_aircraft,clip_rn50,clip_text,fm_standard,12,5shot,2,subset,2,500,0.18511851131916046,0.1704170405864715,0.01470147073268896,0.09520685482025147,195,0.09367391419410706
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,4,5shot,2,subset,2,500,0.1770177036523819,0.1704170405864715,0.006600663065910395,0.04847847464680672,199,0.04847847464680672
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,12,5shot,2,subset,2,500,0.18271827697753906,0.1704170405864715,0.01230123639106756,0.05106866490840912,199,0.05106866490840912
fgvc_aircraft,clip_rn50,clip_text,fm_standard,4,10shot,0,subset,0,1000,0.2184218466281891,0.1704170405864715,0.048004806041717585,0.10251343899965286,194,0.09704106146097183
